"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	1	73429	1.4 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	3	73429	4.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	2	73429	2.7 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"Black or African American"	"2054-5"			20	73429	27.2
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"	"Other gases and vapors"	"E962.2"	1	859598	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	5	859598	0.6 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"	"Shotgun"	"E965.1"	1	859598	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	4	859598	0.5 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	4	859598	0.5 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"	"Fire"	"E968.0"	2	859598	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	3	859598	0.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"	"Other specified means"	"E968.8"	6	859598	0.7 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"	"Unspecified means"	"E968.9"	8	859598	0.9 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"	"White"	"2106-3"			34	859598	4.0
"Total"	"85+ years"	"85+"	"Male"	"M"	"1993"	"1993"					54	951939	5.7
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	2	75187	2.7 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	1	75187	1.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	7	75187	9.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	4	75187	5.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	2	75187	2.7 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"Black or African American"	"2054-5"			16	75187	21.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"Other Race"	"2131-1"	"Assault by cutting and piercing instrument"	"E966"	1	20320	4.9 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"Other Race"	"2131-1"			1	20320	4.9 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Drugs and medicinal substances"	"E962.0"	1	890717	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	3	890717	0.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Handgun"	"E965.0"	1	890717	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Shotgun"	"E965.1"	1	890717	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Hunting rifle"	"E965.2"	2	890717	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	2	890717	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	6	890717	0.7 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Pushing from a high place"	"E968.1"	1	890717	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	2	890717	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Other specified means"	"E968.8"	13	890717	1.5 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"	"Unspecified means"	"E968.9"	5	890717	0.6 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"	"White"	"2106-3"			37	890717	4.2
"Total"	"85+ years"	"85+"	"Male"	"M"	"1994"	"1994"					54	986224	5.5
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	1	77868	1.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	1	77868	1.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	3	77868	3.9 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	3	77868	3.9 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	1	77868	1.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	1	77868	1.3 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"Black or African American"	"2054-5"			10	77868	12.8 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"Other Race"	"2131-1"	"Fire"	"E968.0"	1	21807	4.6 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"Other Race"	"2131-1"			1	21807	4.6 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	3	923911	0.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"White"	"2106-3"	"Shotgun"	"E965.1"	2	923911	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	3	923911	0.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	5	923911	0.5 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"White"	"2106-3"	"Fire"	"E968.0"	2	923911	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	3	923911	0.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"White"	"2106-3"	"Other specified means"	"E968.8"	4	923911	0.4 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"White"	"2106-3"	"Unspecified means"	"E968.9"	9	923911	1.0 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"	"White"	"2106-3"			31	923911	3.4
"Total"	"85+ years"	"85+"	"Male"	"M"	"1995"	"1995"					42	1023586	4.1
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	1	79645	1.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	5	79645	6.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	2	79645	2.5 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	1	79645	1.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	2	79645	2.5 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	2	79645	2.5 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"Black or African American"	"2054-5"			13	79645	16.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"	"Unarmed fight or brawl"	"E960.0"	1	956830	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	4	956830	0.4 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"	"Handgun"	"E965.0"	1	956830	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"	"Shotgun"	"E965.1"	1	956830	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	2	956830	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	3	956830	0.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"	"Other specified means"	"E968.8"	4	956830	0.4 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"	"Unspecified means"	"E968.9"	10	956830	1.0 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"	"Late effects of injury purposely inflicted by other person"	"E969"	1	956830	0.1 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"	"White"	"2106-3"			27	956830	2.8
"Total"	"85+ years"	"85+"	"Male"	"M"	"1996"	"1996"					40	1059931	3.8
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	1	81293	1.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	1	81293	1.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	3	81293	3.7 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	1	81293	1.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	1	81293	1.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	4	81293	4.9 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	2	81293	2.5 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Black or African American"	"2054-5"			13	81293	16.0 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	1	25085	4.0 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"Other Race"	"2131-1"			1	25085	4.0 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Unarmed fight or brawl"	"E960.0"	1	993801	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Other gases and vapors"	"E962.2"	1	993801	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	1	993801	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Handgun"	"E965.0"	4	993801	0.4 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	13	993801	1.3 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	5	993801	0.5 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Fire"	"E968.0"	2	993801	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	1	993801	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Other specified means"	"E968.8"	8	993801	0.8 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"	"Unspecified means"	"E968.9"	16	993801	1.6 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"	"White"	"2106-3"			52	993801	5.2
"Total"	"85+ years"	"85+"	"Male"	"M"	"1997"	"1997"					66	1100179	6.0
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	2	83616	2.4 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	2	83616	2.4 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	1	83616	1.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	1	83616	1.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	2	83616	2.4 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	1	83616	1.2 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"Black or African American"	"2054-5"			9	83616	10.8 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"	"Other solid and liquid substances"	"E962.1"	1	1036235	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	2	1036235	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"	"Handgun"	"E965.0"	1	1036235	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	5	1036235	0.5 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	5	1036235	0.5 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"	"Fire"	"E968.0"	1	1036235	0.1 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	2	1036235	0.2 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"	"Other specified means"	"E968.8"	6	1036235	0.6 (Unreliable)
	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"	"Unspecified means"	"E968.9"	5	1036235	0.5 (Unreliable)
"Total"	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"	"White"	"2106-3"			28	1036235	2.7
"Total"	"85+ years"	"85+"	"Male"	"M"	"1998"	"1998"					37	1146825	3.2
"Total"	"85+ years"	"85+"	"Male"	"M"							1076	17142069	6.3
"Total"	"85+ years"	"85+"									2528	60366826	4.2
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	1	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"			4	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"Other Race"	"2131-1"	"Other specified means"	"E968.8"	1	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"Other Race"	"2131-1"			1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Handgun"	"E965.0"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	6	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	4	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Fire"	"E968.0"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Other specified means"	"E968.8"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Unspecified means"	"E968.9"	2	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"			18	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1979"	"1979"					23	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	3	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	1	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"			8	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	6	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	3	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Other specified means"	"E968.8"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Unspecified means"	"E968.9"	4	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"			16	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1980"	"1980"					24	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	1	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"			3	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	4	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	1	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"			9	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1981"	"1981"					12	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	3	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	1	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"			7	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	3	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	5	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Other specified means"	"E968.8"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Unspecified means"	"E968.9"	2	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"			14	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1982"	"1982"					21	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Rape"	"E960.1"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	2	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"			4	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	4	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	3	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Unspecified means"	"E968.9"	2	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"			12	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"	"Female"	"F"	"1983"	"1983"					16	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	4	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	1	Not Applicable	Not Applicable
